No,AD_CLIENT_ID,DEPT_CODE,APPLIED_CHARGES_CLASS,PURPOSE_OF_USE_MR,CONTRACT_ORG_CODE,CONTRACT_ORG_KBN,CONTRACT_TYPE,D_ID_RENTAL_KBN,RENTAL_TERM_KBN,YEAR,MONTH,DAY,PREVIOUS_MONTH_ADJ,COUNT,SALES_AMT,RENTAL_TIME
236,1000002,3M2G3,PH2,3,3TA00,1,2,7,Z,2021,10,1,0,1,25000,101
237,1000002,3M2J3,P1,1,3F000,2,6,7,1,2021,10,1,0,2,44190,219
238,1000002,3M2J3,P2,1,3F000,2,6,7,1,2021,10,1,0,1,11000,48
239,1000002,3M2J3,P5,3,3TA00,1,1,7,1,2021,10,1,0,1,9604,29
240,1000002,3M2J3,P7,1,3F000,2,6,7,Z,2021,10,1,0,1,10500,25
241,1000002,3M2J3,P7,3,3F000,2,6,7,Z,2021,10,1,0,1,28600,113
242,1000002,3M2J3,PH2,3,3F000,2,6,7,Z,2021,10,1,0,1,30606,109
243,1000002,3M2K3,P0,5,3M2K3,4,3,4,1,2021,10,1,0,1,3500,10
244,1000002,3M2K3,P2,5,3M2K3,4,3,4,1,2021,10,1,0,1,44000,249
245,1000002,3M2K3,P2,5,3M2K3,4,3,4,2,2021,10,1,0,1,96000,574
246,1000002,3M2K3,W4,5,3M2K3,4,3,4,1,2021,10,1,0,1,82728,296
247,1000002,3M2M1,P0,4,3M2M1,4,3,3,1,2021,10,1,9,-1,-52500,-357
248,1000002,3M2M1,P0,4,3M2M1,4,3,4,1,2021,10,1,9,1,52500,357
249,1000002,3M2M3,W4,1,3F000,2,6,7,1,2021,10,1,0,1,56700,77
250,1000002,3M2N3,PT0,5,3M2N3,4,3,4,Z,2021,10,1,0,1,73500,498
251,1000002,3M2N3,W4,1,3F000,2,6,7,1,2021,10,1,0,1,8300,10
252,1000002,3M2P1,P0,1,3F000,2,6,7,1,2021,10,1,0,1,18950,52
253,1000002,3M2P1,P2,1,3F000,2,6,7,1,2021,10,1,0,1,13350,53
254,1000002,3M2P1,P2,3,3TA00,1,1,1,2,2021,10,1,0,1,111800,618
255,1000002,3M2P1,P7,1,3F000,2,6,7,Z,2021,10,1,0,1,11400,71
256,1000002,3M2R1,P0,3,DBB00,5,1,7,1,2021,10,1,0,3,34200,206
257,1000002,3M2R1,P2,3,3TA00,1,1,7,1,2021,10,1,0,1,4794,2
258,1000002,3M2R1,P2,3,3TA00,1,1,7,2,2021,10,1,0,1,74000,720
259,1000002,3M2R1,P2,3,3TC00,1,1,7,1,2021,10,1,0,1,8164,23
260,1000002,3M2T1,PH2,1,3F000,2,6,7,Z,2021,10,1,0,1,15020,48
261,1000002,3M2V1,P0,3,3TC00,1,1,7,1,2021,10,1,0,1,10500,71
262,1000002,3M2V1,P2,3,3TC00,1,1,7,1,2021,10,1,0,1,8000,28
263,1000002,3M2V1,P2,3,3TD00,1,1,7,1,2021,10,1,0,1,8400,47
264,1000002,3M2V1,P7,3,3F000,2,6,7,Z,2021,10,1,0,1,5088,9
